"unisun","unisunNum"
"Appstore-My City Glasgow-My City Glasgow-My City Glasgow-end",1
"Research App 6-Research App 6-Swipe the Arrows-end",1
"Pedometer-Research App 2-end",1
"Pedometer-Facebook-Gmail-end",1
"Dropbox-AppTracker-Gmail-end",1
"AppTracker-Pedometer-Dropbox-Facebook-end",1
"Gmail-Pedometer-Facebook-end",1
"Gmail-Pedometer-My City Glasgow-end",1
"National Rail-National Rail-end",1
"Phone-Gmail-BBC News-end",1
"Camera-Safari-end",1
"Safari-Twitter-Camera-Twitter-end",1
"Twitter-Safari-Gmail-Twitter-end",1
"Camera-Twitter-Phone-end",1
"Camera-Camera-Twitter-end",1
"Twitter-National Rail-end",2
"CBeebies-CBeebies-end",1
"Facebook-Facebook-Facebook-Camera-end",1
"Facebook-Gmail-Twitter-Camera-end",1
"Gmail-Facebook-Camera-Camera-end",1
"Gmail-Twitter-Facebook-Gmail-end",1
"YouTube-Guardian-end",1
"YouTube-Safari-end",1
"Pedometer-Research App 6-Guardian-end",1
"AppTracker-Dropbox-Gmail-Dropbox-end",1
"Clock-Gmail-end",1
"Photos-YouTube-end",1
"AppTracker-Dropbox-end",1
"Gmail-Guardian-Gmail-end",1
"National Rail-Gmail-Pedometer-Facebook-end",1
"AppTracker-Gmail-end",1
"Dropbox-Pedometer-end",1
